Vehicle	Location	count
ambulance	dhaka	1.0
bus	barisal	6.0
bus	bogra	2.0
bus	brahmanbaria	2.0
bus	chandpur	1.0
bus	chittagong	7.0
bus	comilla	3.0
bus	dhaka	13.0
bus	null	10.0
bus	faridpur	1.0
bus	gazipur	1.0
bus	gopalganj	1.0
bus	jessore	1.0
bus	joypurhat	1.0
bus	khulna	3.0
bus	madaripur	1.0
bus	magura	1.0
bus	manikganj	2.0
bus	moulvibazar	1.0
bus	mymensingh	1.0
bus	narayanganj	1.0
bus	netrakona	2.0
bus	patuakhali	1.0
bus	rajshahi	6.0
bus	rangamati	1.0
bus	rangpur	2.0
bus	shariatpur	2.0
bus	sunamganj	1.0
bus	tangail	1.0
bus,bus	chittagong	1.0
bus,bus	comilla	1.0
bus,bus	dhaka	2.0
bus,bus	dinajpur	1.0
bus,bus	null	2.0
bus,bus	narayanganj	1.0
bus,rickshaw	khulna	1.0
bus,tempo	dhaka	1.0
bus,tempo	khulna	1.0
bus,truck	bagerhat	1.0
bus,truck	dhaka	1.0
bus,truck	bagerhat	8.0
bus,truck	bandarban	5.0
bus,truck	barguna	1.0
bus,truck	barisal	6.0
bus,truck	bhola	3.0
bus,truck	bogra	10.0
bus,truck	brahmanbaria	5.0
bus,truck	chandpur	2.0
bus,truck	chapainawabganj	3.0
bus,truck	chittagong	43.0
bus,truck	comilla	4.0
bus,truck	dhaka	108.0
bus,truck	dinajpur	14.0
bus,truck	faridpur	3.0
bus,truck	feni	2.0
bus,truck	gaibandha	7.0
bus,truck	gazipur	7.0
bus,truck	gopalganj	2.0
bus,truck	habiganj	1.0
bus,truck	jamalpur	3.0
bus,truck	jessore	3.0
bus,truck	jhenaidah	1.0
bus,truck	joypurhat	1.0
bus,truck	khagrachhari	8.0
bus,truck	khulna	23.0
bus,truck	kishoreganj	1.0
bus,truck	kushtia	4.0
bus,truck	lalmonirhat	3.0
bus,truck	madaripur	2.0
bus,truck	manikganj	4.0
bus,truck	meherpur	5.0
bus,truck	moulvibazar	5.0
bus,truck	munshiganj	2.0
bus,truck	mymensingh	4.0
bus,truck	naogaon	9.0
bus,truck	narayanganj	6.0
bus,truck	narsingdi	2.0
bus,truck	natore	3.0
bus,truck	netrakona	4.0
bus,truck	nilphamari	1.0
bus,truck	pabna	12.0
bus,truck	panchagarh	2.0
bus,truck	patuakhali	3.0
bus,truck	pirojpur	2.0
bus,truck	rajbari	1.0
bus,truck	rajshahi	22.0
bus,truck	rangamati	4.0
bus,truck	rangpur	2.0
bus,truck	satkhira	7.0
bus,truck	sherpur	3.0
bus,truck	sirajganj	8.0
bus,truck	sunamganj	2.0
bus,truck	sylhet	5.0
bus,truck	tangail	7.0
bus,truck	thakurgaon	6.0
microbus	bogra	1.0
microbus	chapainawabganj	1.0
microbus	chittagong	1.0
microbus	dhaka	1.0
microbus	gazipur	1.0
microbus	habiganj	1.0
microbus	narayanganj	1.0
microbus	null	2.0
microbus	barisal	1.0
microbus	chuadanga	1.0
microbus	dhaka	3.0
microbus	rajshahi	1.0
truck	chittagong	2.0
truck	dhaka	4.0
truck	dhaka,barisal	1.0
truck	dinajpur	1.0
truck	gazipur	1.0
truck	jessore	1.0
truck	khagrachhari	2.0
truck	madaripur	1.0
truck	moulvibazar	1.0
truck	rajshahi	1.0
truck,bus	bogra	1.0
jeep,bus	dinajpuri	1.0
jeep,bus	manikganj	1.0
jeep,bus	nilphamari	1.0
jeep,bus	sirajganj	1.0
rickshaw,bus	dhaka	1.0
rickshaw,bus	rajshahi	2.0
rickshaw,bus	sylhet	1.0
rickshaw,bus	tangail	2.0
tempo,truck	dhaka	1.0
tempo,truck	khulna	1.0
caravan,bus	tangail	1.0